Date, Time, Voltage
8/22/2018,7:35:45,2.31
8/22/2018,7:35:50,2.31
8/22/2018,7:35:55,2.3
8/22/2018,7:36:00,2.31
8/22/2018,7:36:05,2.31
8/22/2018,7:36:10,2.31
8/22/2018,7:36:15,2.31
8/22/2018,7:36:20,2.3
8/22/2018,7:36:25,2.31
8/22/2018,7:36:30,2.31
8/22/2018,7:36:35,2.31
8/22/2018,7:36:40,2.31
8/22/2018,7:36:45,2.31
8/22/2018,7:36:50,2.3
8/22/2018,7:36:55,2.31
8/22/2018,7:37:00,2.31
8/22/2018,7:37:05,2.31
8/22/2018,7:37:10,2.31
8/22/2018,7:37:15,2.31
8/22/2018,7:37:20,2.31
8/22/2018,7:37:25,2.31
8/22/2018,7:37:30,2.31
8/22/2018,7:37:35,2.31
8/22/2018,7:37:40,2.31
8/22/2018,7:37:45,2.31
8/22/2018,7:37:50,2.31
8/22/2018,7:37:55,2.31
8/22/2018,7:38:00,2.31
8/22/2018,7:38:05,2.31
8/22/2018,7:38:10,2.3
8/22/2018,7:38:15,2.31
8/22/2018,7:38:20,2.31
8/22/2018,7:38:25,2.31
8/22/2018,7:38:30,2.31
8/22/2018,7:38:35,2.31
8/22/2018,7:38:40,2.31
8/22/2018,7:38:45,2.31
8/22/2018,7:38:50,2.31
8/22/2018,7:38:55,2.31
8/22/2018,7:39:00,2.31
8/22/2018,7:39:05,2.31
8/22/2018,7:39:10,2.31
8/22/2018,7:39:15,2.31
8/22/2018,7:39:20,2.31
8/22/2018,7:39:25,2.31
8/22/2018,7:39:30,2.31
8/22/2018,7:39:35,2.31
8/22/2018,7:39:40,2.31
8/22/2018,7:39:45,2.31
8/22/2018,7:39:50,2.31
8/22/2018,7:39:55,2.31
8/22/2018,7:40:00,2.31
8/22/2018,7:40:05,2.3
8/22/2018,7:40:10,2.31
8/22/2018,7:40:15,2.31
8/22/2018,7:40:20,2.31
8/22/2018,7:40:25,2.31
8/22/2018,7:40:30,2.31
8/22/2018,7:40:35,2.31
8/22/2018,7:40:40,2.31
8/22/2018,7:40:45,2.31
8/22/2018,7:40:50,2.31
8/22/2018,7:40:55,2.31
8/22/2018,7:41:00,2.31
8/22/2018,7:41:05,2.31
8/22/2018,7:41:10,2.31
8/22/2018,7:41:15,2.31
8/22/2018,7:41:20,2.31
8/22/2018,7:41:25,2.31
8/22/2018,7:41:30,2.31
8/22/2018,7:41:35,2.31
8/22/2018,7:41:40,2.31
8/22/2018,7:41:45,2.31
8/22/2018,7:41:50,2.31
8/22/2018,7:41:55,2.31
8/22/2018,7:42:00,2.31
8/22/2018,7:42:05,2.31
8/22/2018,7:42:10,2.31
8/22/2018,7:42:15,2.31
8/22/2018,7:42:20,2.31
8/22/2018,7:42:25,2.31
8/22/2018,7:42:30,2.31
8/22/2018,7:42:35,2.31
8/22/2018,7:42:40,2.31
8/22/2018,7:42:45,2.31
8/22/2018,7:42:50,2.31
8/22/2018,7:42:55,2.31
8/22/2018,7:43:00,2.31
8/22/2018,7:43:05,2.31
8/22/2018,7:43:10,2.31
8/22/2018,7:43:15,2.31
8/22/2018,7:43:20,2.31
8/22/2018,7:43:25,2.31
8/22/2018,7:43:30,2.31
8/22/2018,7:43:35,2.31
8/22/2018,7:43:40,2.31
8/22/2018,7:43:45,2.31
8/22/2018,7:43:50,2.31
8/22/2018,7:43:55,2.31
8/22/2018,7:44:00,2.31
8/22/2018,7:44:05,2.31
